game_id,home_goals_p10,home_goals_p50,home_goals_p90,away_goals_p10,away_goals_p50,away_goals_p90,total_goals_p10,total_goals_p50,total_goals_p90,margin_p10,margin_p50,margin_p90,analysis_type,model,bucket,games,average_expected_total,average_actual_total,average_total_error,score_mae,margin_mae,total_goals_mae
fa3465388573d634,2.0,5.0,8.0,4.0,8.0,12.0,8.0,13.0,18.0,-7.0,-3.0,2.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
4a382d3304b60238,4.0,7.0,10.0,2.0,5.0,8.0,8.0,12.0,17.0,-3.0,2.0,6.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
6b250c9e87ed2153,4.0,7.0,10.0,2.0,5.0,8.0,8.0,12.0,17.0,-2.0,2.0,6.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
6ea0f27283433899,3.0,6.0,10.0,3.0,6.0,9.0,8.0,12.0,17.0,-4.0,1.0,5.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
7a3375828320c9eb,3.0,6.0,9.0,4.0,7.0,10.0,8.0,12.0,17.0,-5.0,-1.0,4.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
f1bce42044c64e75,2.0,5.0,8.0,5.0,9.0,13.0,9.0,14.0,19.0,-8.0,-4.0,1.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
f4251bbac3d2907f,3.0,6.0,10.0,3.0,5.0,9.0,8.0,12.0,16.0,-3.0,1.0,6.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
082d3835323f91b7,3.0,6.0,9.0,3.0,6.0,9.0,8.0,12.0,17.0,-4.0,0.0,5.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
c2feb0da40937837,3.0,6.0,10.0,2.0,5.0,8.0,7.0,12.0,16.0,-3.0,1.0,6.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
f5de61c3d069709c,6.0,9.0,14.0,1.0,4.0,6.0,9.0,13.0,18.0,1.0,6.0,10.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
22bbf2afe92d9de3,3.0,6.0,9.0,3.0,5.0,9.0,8.0,12.0,16.0,-4.0,1.0,5.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
b4d80cff366a8d44,3.0,5.0,9.0,4.0,7.0,11.0,8.0,12.0,17.0,-6.0,-2.0,3.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
ceb132d6d7f70515,4.0,7.0,10.0,2.0,5.0,8.0,8.0,12.0,17.0,-3.0,2.0,6.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
d381cbfe385c039f,5.0,9.0,13.0,1.0,4.0,6.0,8.0,13.0,18.0,1.0,6.0,10.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
0893268810469108,3.0,5.0,9.0,5.0,8.0,12.0,9.0,14.0,19.0,-8.0,-3.0,2.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
1a985386ba4c6b69,4.0,8.0,11.0,2.0,5.0,8.0,8.0,12.5,17.0,-2.0,3.0,8.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
5c05511095b052a4,5.0,9.0,13.0,1.0,3.0,6.0,8.0,12.0,17.0,1.0,5.0,10.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
24480a4327977f5a,4.0,7.0,11.0,2.0,4.0,7.0,7.0,11.0,16.0,-1.0,3.0,7.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
532fd5e2eab9093d,4.0,8.0,11.0,2.0,4.0,7.0,8.0,12.0,17.0,-1.0,3.0,8.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
880f09678b462075,2.0,5.0,8.0,4.0,8.0,11.0,8.0,13.0,17.0,-7.0,-3.0,2.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
,,,,,,,,,,,,,total_goals_calibration,calibrated_poisson,6-9,4.0,8.017592350931107,10.75,-2.732407649068892,4.030314789748209,4.383010332985897,6.302193880553306
,,,,,,,,,,,,,total_goals_calibration,calibrated_poisson,9-12,38.0,10.864362373270131,12.31578947368421,-1.4514271004140822,3.194603714866787,4.98300397528939,3.670509698433846
,,,,,,,,,,,,,total_goals_calibration,calibrated_poisson,12-15,54.0,12.99786343315284,12.61111111111111,0.3867523220417297,3.191785287863121,5.072338349658963,3.551244969519275
,,,,,,,,,,,,,total_goals_calibration,calibrated_poisson,15+,7.0,15.833737879398333,12.142857142857142,3.6908807365411915,3.8531511598600607,7.220441103283274,3.6908807365411915
,,,,,,,,,,,,,overall,calibrated_poisson,all,103.0,12.210067282854672,12.398058252427184,-0.1879909695725141,3.2703365435685416,5.1585975825000725,3.7115683259468795
